FileName,LayerName,Group,Source,Categorical
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_1_wgs84,Annual mean temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_2_wgs84,Mean diurnal range,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_3_wgs84,Isothermality,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_4_wgs84,Temperature seasonality,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_5_wgs84,Max. temperature of warmest month,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_6_wgs84,Min. temperature of coldest month,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_7_wgs84,Temperature annual range,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_8_wgs84,Mean temperature of wettest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_9_wgs84,Mean temperature of driest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_10_wgs84,Mean temperature of warmest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_11_wgs84,Mean temperature of coldest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_12_wgs84,Annual precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_13_wgs84,Precipitation of wettest month,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_14_wgs84,Precipitation of driest month,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_15_wgs84,Precipitation seasonality,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_16_wgs84,Precipitation of wettest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_17_wgs84,Precipitation of driest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_18_wgs84,Precipitiation of warmest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
